comparison_id,stratum_dimension,stratum_value,metric,baseline_method,candidate_method,direction,relative_definition,relative_point_defined,relative_interval_defined,relative_status,improvement_direction,n_trajectories,n_expected_trajectories,n_excluded_trajectories,resamples,seed,confidence_level,baseline_mean,baseline_median,baseline_q25,baseline_q75,candidate_mean,candidate_median,candidate_q25,candidate_q75,absolute_difference,absolute_ci_low,absolute_ci_high,relative_difference,relative_ci_low,relative_ci_high,improvement,improvement_ci_low,improvement_ci_high,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high,effect_size_name,effect_size,effect_size_ci_low,effect_size_ci_high,effect_size_defined,unadjusted_p_value
primary_position:one_step_pva-vs-predicted_p,reference_family,boundary_grazing,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,20,20,0,10000,20360722,0.95,0.01817299946796248,0.018565681954303408,0.011232157201129123,0.02436590105491935,0.011326437917206547,0.011343223992849174,0.006522685696308289,0.01487073690589078,-0.006846561550755933,-0.008820987484248515,-0.005173587065400576,-0.3767436169701025,-0.41807918436053687,-0.3333180033157114,0.006846561550755933,0.005173587065400576,0.008820987484248515,0.3767436169701025,0.3333180033157114,0.41807918436053687,paired_cohen_dz_candidate_minus_baseline,-1.584042574558267,-2.6017148277729714,-1.294349807056393,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,reference_family,oscillatory,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,20,20,0,10000,20360723,0.95,0.5199997839726163,0.274955774306711,0.11737476101435418,0.6618384056575322,0.16670210015511466,0.10491644985596069,0.022371362827310906,0.17019622624841474,-0.35329768381750176,-0.5048922637703325,-0.21619105112115922,-0.6794189049819044,-0.8008967622257561,-0.5670604530755615,0.35329768381750176,0.21619105112115922,0.5048922637703325,0.6794189049819044,0.5670604530755615,0.8008967622257561,paired_cohen_dz_candidate_minus_baseline,-1.0200639798069513,-1.4409649264777509,-0.7839642594014725,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,reference_family,piecewise_constant_jerk,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,20,20,0,10000,20360724,0.95,0.14037791371143285,0.11263257414543437,0.06897004201783637,0.2011844413436762,0.014066398392080357,0.01414561967458804,0.00947769322497037,0.01958103486642572,-0.12631151531935253,-0.1651563062708025,-0.09070113681600195,-0.8997962142321345,-0.9183959010969215,-0.8744428682092324,0.12631151531935253,0.09070113681600195,0.1651563062708025,0.8997962142321345,0.8744428682092324,0.9183959010969215,paired_cohen_dz_candidate_minus_baseline,-1.4370358082257395,-1.913443703655782,-1.179822555132239,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,reference_family,rapid_reversal,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,20,20,0,10000,20360725,0.95,0.025809016327434393,0.021246860111775075,0.016786374892356425,0.026074430718312017,0.027098445071287912,0.015010042827851813,0.005286894657690905,0.03954615467161304,0.0012894287438535283,-0.014845260866528443,0.016687276815892417,0.04996039862561112,-0.4513342133177476,0.7648964215330144,-0.0012894287438535283,-0.016687276815892417,0.014845260866528443,-0.04996039862561112,-0.7648964215330144,0.4513342133177476,paired_cohen_dz_candidate_minus_baseline,0.03539736619811859,-0.42623271174925603,0.49975134300709095,True,0.8678132186781322
primary_position:one_step_pva-vs-predicted_p,reference_family,stationary_endpoint,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,20,20,0,10000,20360726,0.95,0.18442473952758837,0.18594870685332118,0.10297683356866555,0.22908049088790794,0.014079148157120382,0.01442202598448681,0.00947331898081644,0.019217895195284745,-0.170345591370468,-0.21788588835433514,-0.12895637364383455,-0.9236591132340234,-0.9356967123005056,-0.9097852627618954,0.170345591370468,0.12895637364383455,0.21788588835433514,0.9236591132340234,0.9097852627618954,0.9356967123005056,paired_cohen_dz_candidate_minus_baseline,-1.6383203706993572,-2.7525972264364222,-1.2426246260305371,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,reference_family,stop_and_go,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,20,20,0,10000,20360727,0.95,0.17718562529083753,0.16574183929998593,0.1166625781942614,0.2537135880498072,0.007876229059785328,0.00834957628910736,0.004679485986560762,0.010851429747938665,-0.16930939623105226,-0.20716141541064623,-0.1313138101338686,-0.9555481487459436,-0.9599430193597326,-0.9508054393691354,0.16930939623105226,0.1313138101338686,0.20716141541064623,0.9555481487459436,0.9508054393691354,0.9599430193597326,paired_cohen_dz_candidate_minus_baseline,-1.896506934792739,-2.773253621259121,-1.4652227303118885,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,demand_stratum,high,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,30,30,0,10000,20360723,0.95,0.24671812097976328,0.17146191206946748,0.02627036430382564,0.238417811075403,0.04819133350494021,0.01676425534956718,0.011266159632995392,0.020623656663062997,-0.19852678747482302,-0.30314722338052547,-0.11379011631343587,-0.804670474493063,-0.8993671690213269,-0.7000312292169432,0.19852678747482302,0.11379011631343587,0.30314722338052547,0.804670474493063,0.7000312292169432,0.8993671690213269,paired_cohen_dz_candidate_minus_baseline,-0.7280264687579382,-1.2351527817789043,-0.583061346455126,True,0.0008999100089991
primary_position:one_step_pva-vs-predicted_p,demand_stratum,low,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,30,30,0,10000,20360724,0.95,0.046175080404576775,0.045493514767472445,0.0161979544080188,0.05593629897066562,0.008998049802872367,0.004494784079258804,0.003448156849131868,0.004967625287686662,-0.03717703060170441,-0.05057387101053606,-0.025718753460118777,-0.8051319082926708,-0.8934161874578926,-0.7216622226736102,0.03717703060170441,0.025718753460118777,0.05057387101053606,0.8051319082926708,0.7216622226736102,0.8934161874578926,paired_cohen_dz_candidate_minus_baseline,-1.0410538880284148,-1.7335833069587159,-0.7848429185611964,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,demand_stratum,medium,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,30,30,0,10000,20360725,0.95,0.14140272813885263,0.12350375446542682,0.024586834377059136,0.19889224893038837,0.030457194586628458,0.011564302751001532,0.009361534477613481,0.017069224883323183,-0.11094553355222418,-0.15582300716303585,-0.07152305869369553,-0.784606740000656,-0.877363000901989,-0.6732746976253172,0.11094553355222418,0.07152305869369553,0.15582300716303585,0.784606740000656,0.6732746976253172,0.877363000901989,paired_cohen_dz_candidate_minus_baseline,-0.9227548069774598,-1.3954578412597305,-0.6885374503295038,True,9.999000099990002e-05
primary_position:one_step_pva-vs-predicted_p,demand_stratum,near_limit,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,30,30,0,10000,20360726,0.95,0.2763507893420553,0.21696666786514696,0.03556486384590598,0.2961606778949001,0.07311926127395577,0.02126206499578065,0.01429531974708813,0.02682598907603791,-0.2032315280680996,-0.2824865097997831,-0.13189096144198303,-0.7354114260066332,-0.8655194237069532,-0.6049165425274334,0.2032315280680996,0.13189096144198303,0.2824865097997831,0.7354114260066332,0.6049165425274334,0.8655194237069532,paired_cohen_dz_candidate_minus_baseline,-0.9477065150334512,-1.343382996203106,-0.7087267613467217,True,9.999000099990002e-05
