evidence_id,stage,source_artifact,metric,observed_value,negative_observation,trajectory_or_cycle_count,interpretation
estimator_accuracy,estimator,locked_test/metrics_by_trajectory.csv,estimator_p_rmse,3.4981672220322437e-06,False,120,Magnitude is diagnostic; the protocol predeclares no estimator RMSE threshold.
prediction_accuracy,prediction,locked_test/metrics_by_trajectory.csv,prediction_p_rmse,3.4981672220322437e-06,False,120,Correct-future-time prediction magnitude; no retrospective threshold.
governor_projection,governor,locked_test/governor_invariants.csv,projection_rate,0.0,False,120,Any projection is negative evidence against the zero-projection criterion.
follower_continuous_constraints,follower,locked_test/constraint_audit.csv,continuous_violation_count,0.0,False,120,Direct-follower continuous audit over every canonical command cycle.
ideal_plant_command_divergence,plant,locked_test/metrics_by_trajectory.csv,plant_position_rmse,0.0,False,120,Ideal clean-test plant diagnostic; delayed-plant evidence remains in its raw bundle.
estimated_acceleration_harmful,information_condition,acceleration/acceleration_estimated_pv_pva_pairs.csv,estimated_pva_harmful_rate,0.9821428571428571,True,224,Same-future estimated PVA worse than PV; all harmful trajectories are retained.
chirp_max_abs_gain_error,follower,locked_test/chirp_frequency_response.csv,chirp_max_abs_gain_error,5.643956712192714,False,6,Maximum |gain-1| across candidate chirp bands and joints. 36 band-joint rows retained in summaries/chirp_frequency_response.csv.
chirp_max_abs_phase_delay_s,follower,locked_test/chirp_frequency_response.csv,chirp_max_abs_phase_delay_s,1.0454919807117675,False,6,Maximum absolute chirp phase delay; no retrospective threshold. 36 band-joint rows retained in summaries/chirp_frequency_response.csv.
chirp_max_abs_group_delay_s,follower,locked_test/chirp_frequency_response.csv,chirp_max_abs_group_delay_s,5.318382110219934,False,6,Maximum absolute chirp group delay; no retrospective threshold. 36 band-joint rows retained in summaries/chirp_frequency_response.csv.
chirp_max_abs_local_delay_s,follower,locked_test/chirp_frequency_response.csv,chirp_max_abs_local_delay_s,0.050000000000000044,False,6,Maximum absolute metadata-windowed local delay; no retrospective threshold. 36 band-joint rows retained in summaries/chirp_frequency_response.csv.
